8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
FORCE USA,F-C20,Force USA C20 Cornerstone,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,7,154,7,0,10,2," $ 13,251 ",160," $ 1,121,674 ",69.4%,4.8,18-Aug-2026,15,11,TRFOEXP0000100,3.80,0.00,0.00,0.00
FORCE USA,F-C10,Force USA C10 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,3,10,3,0,7,0, $ -   ,140," $ 633,148 ",66.6%,4.2,15-Dec-2026,10,7,PO0033381,5.49,,,
ASSAULT FITNESS,AS-ARP,Assault Runner Pro,CARDIO,Treadmills - Manual Treadmill,Obsolete,0,0,79,0,0,0,0, $ -   ,113," $ 540,235 ",44.4%,3.4,14-Aug-2026,27,0,PO0033153,1.21,,,
FORCE USA,F-G4,Force USA G4 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,0,160,0,0,22,0, $ -   ,140," $ 353,311 ",63.9%,4.2,31-Oct-2026,60,23,PO0033288,0.00,,,
FORCE USA,F-G12-V2,Force USA G12 V2 All In One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,0,110,0,0,12,0, $ -   ,85," $ 343,525 ",56.1%,2.6,30-Sep-2026,60,12,PO0033157,0.00,,,
FORCE USA,F-G3-V2,Force USA G3 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,1,135,1,0,11,0, $ -   ,145," $ 279,783 ",54.8%,4.4,31-Aug-2026,20,12,TRFOEXP0000103,20.60,,,
FORCE USA,F-FTR,Force USA Functional Trainer Rack,STRENGTH,All-In-One Trainers - All-In-One Attachments,A,0,6,50,6,0,5,1," $ 4,090 ",79," $ 251,841 ",55.1%,2.4,30-Sep-2026,10,4,PO0033103,3.07,,,
FORCE USA,F-MR-FID-V2,Force USA - FID Bench with Arm and Leg Developer,STRENGTH,Benches - Adjustable,A,0,13,500,13,0,0,3," $ 1,086 ",576," $ 227,835 ",57.8%,17.5,31-Oct-2026,200,0,PO0033288,6.42,,,
FORCE USA,F-G20-V2,Force USA G20 Pro All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,25,34,0,6,28,0,1," $ 4,903 ",37," $ 200,918 ",51.1%,1.1,,,,,0.26,,,
ASSAULT FITNESS,AS-ASSAULTB,AssaultBike Classic,CARDIO,Bikes - Fan Bikes,A,16.7,108,0,6,102,0,8," $ 7,630 ",202," $ 191,257 ",38.9%,6.1,,,,,0.15,,,
VERSAFIT,VF-RT15-V2,VersaFit - Rubber Flooring Tile 1m x 1m x 15mm - Black,FLOORING,Rubber Flooring - Home Flooring,A,0,30,4930,30,0,512,37, $ 137 ,"6,596"," $ 190,069 ",35.4%,199.9,31-Aug-2026,"3,110",678,PO0033154,-0.35,,,
FORCE USA,F-G15-B,Force USA G15 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,8.3,19,20,9,10,0,1, $ -   ,40," $ 185,123 ",48.9%,1.2,31-Aug-2026,20,0,TRFOEXP0000103,0.32,,,
VERSAFIT,VF-CEP-BLACK,Versafit - Connector Elite Zero Gap EPDM Tiles - Black,FLOORING,Rubber Flooring - Commercial Flooring,A,0,135,3200,135,0,680,109," $ 5,359 ","3,443"," $ 151,183 ",47.3%,104.3,31-Aug-2026,"2,500",489,PO0033154,1.24,,,
FORCE USA,F-TT,Force USA Tandem Tower,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,1.1,4,70,2,2,0,0, $ -   ,58," $ 132,428 ",55.4%,1.8,30-Sep-2026,40,0,PO0033103,1.78,,,
CENTR,HPS,CENTR X HYROX Competition Sled,FUNCTIONAL,Hyrox,A,0,17,292,17,0,58,13," $ 7,062 ",227," $ 129,071 ",44.5%,6.9,15-Sep-2026,160,14,PO0033305,0.75,,,
CONCEPT 2,ROWERG,Concept2 RowErg with Standard Legs,CARDIO,Rowers,A,0,5,0,5,0,5,3," $ 5,006 ",81," $ 128,486 ",13.0%,2.5,,,,,0.12,,,
FORCE USA,F-FT,Force USA Functional Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,2,0,2,0,0,1," $ 1,817 ",66," $ 128,465 ",54.3%,2.0,,,,,5.97,,,
FORCE USA,F-C10-V2,Force USA C10 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,2.8,6,196,4,2,0,4," $ 21,804 ",24," $ 126,015 ",67.3%,0.7,18-Aug-2026,26,2,TRFOEXP0000100,2.10,,,
ASSAULT FITNESS,AS-ABPX,Assault Air Bike Pro X,CARDIO,Bikes - Fan Bikes,A,0,25,66,25,0,2,0, $ -   ,102," $ 122,280 ",24.6%,3.1,31-Aug-2026,66,2,PO0033282,0.36,,,
VERSAFIT,VF-RTE15-V2,Home & Fitness Rubber Flooring Tile 1M x 1M x 15MM **No Warranty available for commercial or studio use**,OTHER,Flooring,A,0,39,4690,39,0,64,2, $ 4 ,"5,121"," $ 118,995 ",35.7%,155.2,30-Sep-2026,"1,890",64,PO0033285,2.77,,,
FREEFORM,FF-T20,Freeform T20 Treadmill,CARDIO,Treadmills - Motorised Treadmill,A,13.7,45,0,3,42,0,2," $ 3,516 ",101," $ 118,852 ",60.3%,3.1,,,,,0.75,,,
CENTR,HBR,CENTR X HYROX Competition Power Rope,FUNCTIONAL,Hyrox,A,1.7,75,440,60,15,0,23," $ 8,901 ",293," $ 118,805 ",66.0%,8.9,15-Sep-2026,286,0,PO0033305,0.69,,,
SCHWINN,100893,Schwinn 800IC (IC8) Indoor Cycling Bike,CARDIO,Bikes - Spin Bikes,A,13.4,41,0,4,37,0,1," $ 1,363 ",91," $ 117,353 ",40.9%,2.8,,,,,0.00,,,
FORCE USA,F-GLIDE-T2,Force USA Glide Treadmill V2,CARDIO,Treadmills - Motorised Treadmill,A,30.7,78,71,10,68,0,1," $ 1,414 ",73," $ 116,160 ",61.3%,2.2,31-Oct-2026,71,0,PO0033376,0.67,,,
VISION,T600-E-02,Vision Treadmill T600E-02,CARDIO,Treadmills - Motorised Treadmill,Non-stocked,3.9,2,0,0,2,0,0, $ -   ,17," $ 111,065 ",49.4%,0.5,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S,PRA-FT-DUAL-5002-S Ares 2.0 - 5000 Series - Weight Stack,STRENGTH,Power Racks,A,0,0,20,0,0,16,0, $ -   ,23," $ 110,536 ",67.8%,0.7,15-Sep-2026,10,10,PO0033156,6.36,,,
FORCE USA,F-MLPHS-V2,Force USA Original Leg Press Hack Squat,STRENGTH,Single Stations - Lower Body,A,0,1,60,1,0,11,0, $ -   ,60," $ 108,786 ",59.2%,1.8,15-Dec-2026,60,11,PO0033381,6.80,,,
FORCE USA,F-C10-SB,Force USA C10 Sliding Bench,STRENGTH,Benches - Sliding,A,0,3,159,3,0,54,0, $ -   ,182," $ 95,729 ",41.3%,5.5,30-Sep-2026,60,54,PO0033157,-0.26,,,
STEPR,STEPR-PRO-CL,"STEPR PRO, LED Screen",CARDIO,Stair Climber,A,0,0,20,0,0,0,0, $ -   ,17," $ 93,628 ",51.8%,0.5,4-Sep-2026,20,0,PO0033200,2.55,,,
CONCEPT 2,BikeErg,Concept2 BikeErg with PM5 Monitor,CARDIO,Bikes - Spin Bikes,A,0,3,0,3,0,1,1," $ 1,922 ",50," $ 92,606 ",6.3%,1.5,,,,,-0.13,,,
FORCE USA,F-G6-B,Force USA G6 All-In-One Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,0,1,0,1,0,0,0, $ -   ,25," $ 90,406 ",49.6%,0.8,,,,,0.00,,,
CENTR,SF3.3,Centr 3 Home Gym Functional Trainer with Selectorized Smith Bar,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,0,0,26,0,0,0,0, $ -   ,25," $ 88,505 ",58.0%,0.8,5-Oct-2026,11,0,PO0033370,0.00,,,
HORIZON,TREAD-XP,Horizon Treadmill Tread XP,CARDIO,Treadmills - Motorised Treadmill,A,8,7,0,0,7,0,0, $ -   ,29," $ 87,776 ",38.8%,0.9,,,,,0.44,,,
VISION,T600-03,Vision Treadmill T600-03,COMMERCIAL,Treadmills - Motorised Treadmill,A,0,5,0,5,0,0,0, $ -   ,18," $ 82,084 ",47.3%,0.5,,,,,0.21,,,
FORCE USA,F-DRACK3T,Force USA Dumbbell Rack 3 Tier,STRENGTH,Storage - Dumbbell Storage,A,10.6,103,50,19,84,0,5," $ 1,404 ",262," $ 81,952 ",44.8%,7.9,31-Oct-2026,50,0,PO0033379,0.40,,,
FORCE USA,F-CLP-V3,FORCE USA Compact Standing Leg Press & Hack Squat,STRENGTH,Single Stations - Lower Body,A,0.5,2,20,1,1,0,2," $ 2,493 ",71," $ 80,763 ",62.5%,2.2,15-Dec-2026,20,0,PO0033381,2.27,,,
