8/10/2026,<< Data Refreshed Date,REVEL - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,,,Calendar Week:,33
,,,,,,,,,,,,,,,,,,,,,,
Item Name,Item Description,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD , GP % YTD ,YTD WEEKLY ROS,Order ETA,Next Order Quantity,Allocated Demand,Next PO,,,,
R-BFS-CEDAR-3P-V2,Revel Luna 3 Person Cedar Infrared Cabin Sauna,Saunas,20,44,163,8,36,0,0," $ 8,092 ",61," $ 524,476 ",63.6%,2,01-Sep-2026,10,0,PO0033080,,,,
R-TR-VIRTA-4P,Revel Virta 4 Person Traditional Cabin (No Heater),Saunas,6,25,114,15,10,0,7," $ 61,784 ",56," $ 501,202 ",60.8%,2,15-Oct-2026,30,0,PO0033170,,,,
R-BT-CEDAR-4P-V2,Revel Edenview - 4 Person Traditional Cedar Barrel Sauna (No Heater),Saunas,15,36,5,9,27,0,1," $ 6,097 ",59," $ 378,428 ",56.1%,2,15-Aug-2026,5,0,PO0033391,,,,
R-CS-4P-V2,Revel NordicWave 3-4 Person Infrared & Traditional Hybrid Sauna (No Heater),Saunas,8,26,91,12,14,0,0, $ -   ,59," $ 382,885 ",58.7%,2,15-Aug-2026,3,0,PO0033391,,,,
R-FS-2P-V2,Revel Aura 2 Person Full Spectrum Infrared Sauna,Saunas,12,38,193,8,30,0,0, $ -   ,85," $ 360,300 ",59.5%,3,15-Sep-2026,6,0,PO0032917,,,,
R-TR-VIRTA-2P,Revel Virta 2 Person Traditional Cabin (No Heater),Saunas,3,9,149,5,4,1,1," $ 5,805 ",45," $ 316,519 ",61.1%,1,01-Sep-2026,4,0,PO0033080,,,,
R-BT-4P-V2,Revel Eden - 4 Person Traditional Barrel Sauna (No Heater),Saunas,7,26,12,10,16,0,1," $ 4,596 ",72," $ 306,358 ",54.2%,2,15-Aug-2026,1,0,PO0033391,,,,
R-CHILLER-XY-10-M,Revel Chiller - 1.0HP - XY PRO,Ice Baths,23,99,0,13,86,0,3, $ 272 ,125," $ 288,465 ",52.4%,4,,,,,,,,
R-FS-3P-V2,Revel Aura 3 Person Full Spectrum Infrared Sauna,Saunas,26,57,245,5,52,0,2," $ 10,994 ",65," $ 326,404 ",60.8%,2,30-Sep-2026,2,0,PO0032590,,,,
R-FS-CABIN-2P-V2,Revel Eclipse 2 Person Full Spectrum Infrared Cabin,Saunas,5,6,31,1,5,1,0, $ -   ,33," $ 276,248 ",61.9%,1,20-Aug-2026,5,1,PO0032754,,,,
R-ICEDUO-V2-TUB,Revel Glacier Duo Tub - Cedar Ice Bath,Ice Baths,5,10,0,2,8,0,0, $ -   ,59," $ 211,168 ",35.7%,2,,,,,,,,
R-ICESOLO-V3-TUB,Revel Glacier Solo Tub - Cedar Ice Bath,Ice Baths,1,10,74,9,1,2,0, $ -   ,61," $ 181,306 ",40.4%,2,01-Nov-2026,20,2,PO0033266,,,,
R-TR-CABIN-3P,Revel Solaris 4 Person Traditional Cabin,Saunas,3,3,0,1,2,1,0, $ -   ,23," $ 153,887 ",49.6%,1,,,,,,,,
R-FS-PREM-3P,Revel Nova 3 Person Full Spectrum Infrared Sauna,Saunas,6,4,0,0,4,0,0, $ -   ,22," $ 148,497 ",51.6%,1,,,,,,,,
R-TR-PREM-4P,Revel Loom 4 Person Traditional Finnish Sauna (No Heater),Saunas,3,4,42,2,2,1,2," $ 13,833 ",26," $ 186,066 ",61.1%,1,20-Aug-2026,4,1,PO0032754,,,,
R-FS-PREM-2P,Revel Nova 2 Person Full Spectrum Infrared Sauna,Saunas,8,9,0,2,7,0,1," $ 5,636 ",29," $ 160,223 ",49.9%,1,,,,,,,,
R-BT-CEDAR-2P-V2,Revel Aurora 2 Person Traditional Cedar Barrel Sauna (No Heater),Saunas,30,21,3,1,20,0,0, $ -   ,22," $ 128,185 ",60.8%,1,15-Aug-2026,3,0,PO0033391,,,,
R-CHILLER-COM-2HP,Revel Commercial Chiller 2HP,Ice Baths,34,42,0,11,31,0,0, $ -   ,30," $ 126,704 ",65.3%,1,,,,,,,,
R-TR-4P-V2,Revel Tampere 4 Person Traditional Finnish Sauna,Saunas,1,4,0,3,1,0,0, $ -   ,28," $ 112,232 ",39.2%,1,,,,,,,,
R-TR-4P-V3,Revel Tampere 4 Person Traditional Finnish Sauna (No Heater),Saunas,17,13,74,1,12,0,1," $ 5,138 ",24," $ 114,231 ",51.3%,1,15-Aug-2026,4,0,PO0033391,,,,
R-TR-VAL-2P,Revel Kuusi 2 Person Traditional Finnish Sauna (No heater),Saunas,15,28,43,4,24,0,3," $ 6,666 ",54," $ 130,604 ",46.2%,2,20-Aug-2026,5,0,PO0032754,,,,
R-BT-CEDAR-4P,Revel Edenview - 4 Person Traditional Cedar Barrel Sauna,Saunas,0,0,0,0,0,0,0, $ -   ,13," $ 97,534 ",58.6%,0,,,,,,,,
R-ICE-ALLINONE-BLK,Revel Glasur All in One Ice Bath - Black,Ice Baths,0,2,0,2,0,0,0, $ -   ,14," $ 97,602 ",51.2%,0,,,,,,,,
R-FS-PREM-3P-V2,Revel Nova 3 Person Full Spectrum Infrared Sauna,Saunas,20,13,73,5,8,0,0, $ -   ,13," $ 96,918 ",59.3%,0,05-Oct-2026,5,0,PO0033078,,,,
R-CHILLER-XY-08-S,Revel Chiller - 0.8HP - XY PRO,Ice Baths,40,39,0,3,36,0,2," $ 4,424 ",30," $ 86,034 ",57.9%,1,,,,,,,,
