Vendor,Product Type,SKU,Product Name,Revenue (AUD),Units Sold,Orders
CENTR X HYROX,Sled,HPS,CENTR X HYROX Competition Sled,206851.70,314,190
CENTR X HYROX,Battle Rope,HBR,CENTR X HYROX Competition Power Rope,168546.00,354,193
CENTR X HYROX,Sand Bags,HSB10,CENTR X HYROX Competition Sandbag,119586.90,576,226
CENTR X HYROX,Competition Kettlebells,HUOKB16,CENTR X HYROX Competition Octo Kettlebell,112095.60,386,72
Centr,Functional Trainer,CENTR3-IG,Centr 3 Home Gym Functional Trainer with Selectorized Smith Bar,101016.00,26,26
CENTR X HYROX,Wall Balls,HWB4,CENTR X HYROX Competition Wall Ball,86758.92,568,244
CENTR X HYROX,Turf,2-HTURF7,CENTR X HYROX Official Competition Perform Turf,59387.00,13,12
CENTR X HYROX,RIG TARGET,HBT,CENTR X HYROX Competition Rig Target,57979.10,307,169
Centr,Electric Treadmill,RUNR-S,Centr Runr-S Treadmill,42382.00,18,18
Centr,Functional Trainer,CENTR2-IG,Centr 2 Home Gym Functional Trainer,41884.00,16,16
CENTR X HYROX,Olympic Weight Plates,HUBP25,CENTR X HYROX 25kg Competition Interlocking Plate,39615.00,105,11
Centr,Home Gym,BW1.1,Centr Body Weight Home Gym Machine,23487.00,13,13
Centr,Electric Treadmill,RUNR,Centr Runr Treadmill,21038.00,12,12
Centr,Power Rack,CHR.1,Centr Half Rack,11387.00,13,13
CENTR X HYROX,Manual Treadmill,NMT.3,CENTR X HYROX Perform Tread,10999.00,1,1
CENTR X HYROX,Manual Treadmill,NMT.1,CENTR X HYROX Perform Tread,10999.00,1,1
Centr,Functional Trainer,CENTR1-IG,Centr 1 Home Gym Functional Trainer,9959.00,7,7
Centr,Adjustable Bench,FID5,"Centr Multi-Adjustable Flat, Incline, Decline, Workout Bench",4973.00,7,7
CENTR X HYROX,Competition Kettlebells,HKT2025,CENTR X HYROX 2025 Collectible Kettlebell,2052.00,24,21
Centr,Functional Training Package,CRK1.1,Centr Recovery Kit,1750.00,14,12
Centr,Functional Training Package,CCK.1.1,Centr Core Kit,1639.00,11,11
Centr,Resistance Bands,CFB,Centr Fabric Resistance Bands,1078.00,22,19
Centr,Resistance Bands,CTB,Centr Resistance Bands with Handles,1035.00,14,14
Centr,Functional Training Package,CFK,Centr Fitness Kit,894.00,6,6
Centr,Pull Up Bar,CDMPU,Centr Pull Up Bar,891.00,9,9
Centr,Yoga Mat,CYM,Centr Yoga Mat,869.00,11,8
Centr,Skipping Rope,CJR,Centr Jump Rope,784.00,16,13
Centr,Wrist Straps,BWTS,Centr Bodyweight Training Straps (Pair),534.00,6,6
Centr,Push Up Handle,PUH,Centr Push Up Handles (Pair),294.00,6,6
Centr,Functional Training Package,CBWTK,Centr Bodyweight Training Kit,199.00,1,1
