Vendor,Product Type,Revenue (AUD),Units Sold,Orders
CENTR X HYROX,Sled,206851.70,314,190
CENTR X HYROX,Battle Rope,168546.00,354,193
Centr,Functional Trainer,152859.00,49,49
CENTR X HYROX,Sand Bags,119586.90,576,226
CENTR X HYROX,Competition Kettlebells,114147.60,410,93
CENTR X HYROX,Wall Balls,86758.92,568,244
Centr,Electric Treadmill,63420.00,30,30
CENTR X HYROX,Turf,59387.00,13,12
CENTR X HYROX,RIG TARGET,57979.10,307,169
CENTR X HYROX,Olympic Weight Plates,39615.00,105,11
Centr,Home Gym,23487.00,13,13
CENTR X HYROX,Manual Treadmill,21998.00,2,2
Centr,Power Rack,11387.00,13,13
Centr,Adjustable Bench,4973.00,7,7
Centr,Functional Training Package,4482.00,32,29
Centr,Resistance Bands,2113.00,36,33
Centr,Pull Up Bar,891.00,9,9
Centr,Yoga Mat,869.00,11,8
Centr,Skipping Rope,784.00,16,13
Centr,Wrist Straps,534.00,6,6
Centr,Push Up Handle,294.00,6,6
