SKU,Product Name,Product Type,Deck Category
2-HTURF7,CENTR X HYROX Official Competition Perform Turf,,Functional Training
HPS,CENTR X HYROX Competition Sled,,Functional Training
HYROX-TURF2-IG,CENTR X HYROX Official Competition Perform Turf,,Functional Training
HYROX-TURF4-IG,CENTR X HYROX Official Competition Perform Turf,,Functional Training
HYROX-TURF4-NEZ-IG,CENTR X HYROX Official Competition Perform Turf,,Functional Training
HYROX-TURF6-IG,CENTR X HYROX Official Competition Perform Turf,,Functional Training
HBR,CENTR X HYROX Competition Power Rope,Battle Rope,Functional Training
HBT,CENTR X HYROX Competition Rig Target,RIG TARGET,Functional Training
HPR-4T,"CENTR X HYROX Perform Rig | 4, 6, or 8 Targets",RIG TARGET,Functional Training
HPR-6T,"CENTR X HYROX Perform Rig | 4, 6, or 8 Targets",RIG TARGET,Functional Training
HPR-8T,"CENTR X HYROX Perform Rig | 4, 6, or 8 Targets",RIG TARGET,Functional Training
HRBC,CENTR x HYROX Perform Rig - Bar Catch (Front Spotter Arms - 2 Pieces),Rig and Rack Attachments,Functional Training
HRBS,CENTR x HYROX Perform Rig - Bar Support (J Hooks - 2 pieces),Rig and Rack Attachments,Functional Training
HRDP,CENTR x HYROX Perform Rig - Double Play (Bar / Weight Storage),Rig and Rack Attachments,Functional Training
HRDS,CENTR x HYROX Perform Rig - Dip Step Anchor (Pair),Rig and Rack Attachments,Functional Training
HRLBPA,CENTR x HYROX Perform Rig - Lower Band Peg Attachment,Rig and Rack Attachments,Functional Training
HRLM,CENTR x HYROX Perform Rig - Landmine Attachment,Rig and Rack Attachments,Functional Training
HSB10,CENTR X HYROX Competition Sandbag,Sand Bags,Functional Training
HSB20,CENTR X HYROX Competition Sandbag,Sand Bags,Functional Training
HSB30,CENTR X HYROX Competition Sandbag,Sand Bags,Functional Training
HWB4,CENTR X HYROX Competition Wall Ball,Wall Balls,Functional Training
HWB6,CENTR X HYROX Competition Wall Ball,Wall Balls,Functional Training
HWB9,CENTR X HYROX Competition Wall Ball,Wall Balls,Functional Training
HKT2025,CENTR X HYROX 2025 Collectible Kettlebell,Competition Kettlebells,Kettlebells
HUOKB16,CENTR X HYROX Competition Octo Kettlebell,Competition Kettlebells,Kettlebells
HUOKB24,CENTR X HYROX Competition Octo Kettlebell,Competition Kettlebells,Kettlebells
HUOKB32,CENTR X HYROX Competition Octo Kettlebell,Competition Kettlebells,Kettlebells
NMT.3,CENTR X HYROX Perform Tread,Manual Treadmill,Treadmills
HUBP25,CENTR X HYROX 25kg Competition Interlocking Plate,Olympic Weight Plates,Weight Plates
